,user_id,tweets_count,followers_count,friends_count,has_name,has_image,has_address,has_bio,profile_has_url,present_in_list,friends_to_followers_ratio,label
0,24503,3531,5055,1466,1,1,1,1,1,1,0.2900098911968348,1
1,22903,164,132,194,1,1,1,1,1,1,1.4696969696969697,1
2,382393,1069,1154,832,1,1,1,1,1,1,0.7209705372616985,1
3,286543,3404,930,535,1,1,1,1,1,1,0.5752688172043011,1
4,438023,2884,173,444,1,1,1,0,1,1,2.566473988439306,1
5,586003,206,97,234,1,1,1,1,1,0,2.4123711340206184,1
6,628563,498,154,314,1,1,1,1,1,1,2.038961038961039,1
7,769985,1884,1100,975,1,1,1,1,1,1,0.8863636363636364,1
8,2007021,3038,2254,2196,1,1,1,1,1,1,0.974267968056788,1
9,2731681,308,31,55,1,1,1,1,1,1,1.7741935483870968,1
10,3909541,2722,637,1853,1,1,1,1,1,1,2.9089481946624804,1
11,5863152,3143,2842,1903,1,1,1,1,1,1,0.6695988740323716,1
12,6082972,3238,1335,727,1,1,1,1,1,1,0.5445692883895131,1
13,6175692,60,13,67,1,1,1,0,0,0,5.153846153846154,1
14,6196392,1156,101,108,1,1,1,0,0,1,1.0693069306930694,1
15,6618042,176,34,182,1,1,1,1,0,1,5.352941176470588,1
16,6677972,2127,335,1956,1,1,1,1,0,1,5.838805970149254,1
17,7246122,1791,364,373,1,1,1,1,1,1,1.0247252747252746,1
18,7527052,3293,68,76,1,1,0,0,1,0,1.1176470588235294,1
19,7773732,3752,3566,803,1,1,0,1,1,1,0.22518227706113292,1
20,8029522,2686,337,405,1,1,1,1,1,1,1.2017804154302671,1
21,9664862,227,89,126,1,1,1,1,0,1,1.4157303370786516,1
22,12179872,4174,4560,4307,1,1,1,1,1,1,0.9445175438596491,1
23,12551742,3254,3300,311,1,1,1,1,1,1,0.09424242424242424,1
24,12700622,1438,138,263,1,1,1,0,1,1,1.9057971014492754,1
25,12765892,32,15,56,1,1,1,1,0,0,3.7333333333333334,1
26,14321616,1678,463,528,1,1,1,1,1,1,1.1403887688984882,1
27,14443340,3850,1476,1069,1,1,1,1,1,1,0.7242547425474255,1
28,14561441,886,100,186,1,1,1,1,1,1,1.86,1
29,15455450,26,78,203,1,1,1,1,1,1,2.6025641025641026,1
30,15453624,412,111,160,1,1,1,1,1,1,1.4414414414414414,1
31,15622858,440,34,112,1,1,1,1,0,0,3.2941176470588234,1
32,15788159,3416,349,823,1,1,1,1,1,1,2.358166189111748,1
33,15922136,4205,626,676,1,1,1,0,1,1,1.0798722044728435,1
34,16002194,1729,1405,197,1,1,1,1,1,1,0.1402135231316726,1
35,16183526,562,139,401,1,1,1,1,0,1,2.884892086330935,1
36,16270293,329,86,152,1,1,1,1,1,1,1.7674418604651163,1
37,16303802,398,62,396,1,1,1,1,1,1,6.387096774193548,1
38,16649518,72,43,110,1,1,1,1,1,1,2.558139534883721,1
39,17085112,3468,152,68,1,1,1,1,1,1,0.4473684210526316,1
40,17283453,2158,481,249,1,1,1,1,1,1,0.5176715176715176,1
41,17421795,3035,128,138,1,1,1,1,1,1,1.078125,1
42,17426567,1497,350,1000,1,1,1,1,1,1,2.857142857142857,1
43,17844234,4324,106,416,1,1,1,1,0,1,3.9245283018867925,1
44,17992531,174,60,66,1,1,1,1,0,1,1.1,1
45,18721974,2085,203,664,1,1,1,1,0,1,3.270935960591133,1
46,18874774,3182,70,72,1,1,1,1,0,1,1.0285714285714285,1
47,19706832,1789,735,461,1,1,1,1,1,1,0.6272108843537415,1
48,19701419,3343,482,555,1,1,1,1,1,1,1.1514522821576763,1
49,19973780,1421,92,111,1,1,1,1,0,1,1.2065217391304348,1
50,20303000,1505,176,383,1,1,1,0,0,1,2.1761363636363638,1
